,id,full_name,language,#commitsBeforeFollowUp,#DevsBeforeFollowUp,SQ/NonSQ,#commitsDuringFollowUp,age_in_ASF,n_closed_issues_start,start_mean_velocity,start_median_velocity,open_issues_at_start,n_created_issues_start,n_closed_issues_end,end_mean,end_median,open_issues_at_end,difference_of_means,difference_of_medians,n_created_issues_end,root_project
226,9290699,apache/tez,Java,2797,33,NonSQ,125,2827 days 17:52:57,32,564 days 06:42:32.218750,430 days 20:00:49,38,16,26,149 days 05:47:55.730769230,18 days 01:37:12.500000,53,-416 days +23:05:23.512019230,-413 days +05:36:23.500000,31,tez
227,9759448,apache/cloudstack,Java,33806,311,SQ,1790,3787 days 11:06:59,378,94 days 19:12:42.539682540,13 days 12:13:19,321,372,463,74 days 08:28:01.673866091,12 days 21:39:51,249,-21 days +13:15:19.134183551,-1 days +09:26:32,518,cloudstack
228,9759449,apache/creadur-tentacles,Java,123,6,NonSQ,140,3366 days 23:44:57,0,NaT,NaT,5,2,29,2 days 16:44:03.206896551,0 days 20:57:31,8,NaT,NaT,28,creadur
229,9759451,apache/creadur-whisker,Java,472,6,NonSQ,175,3386 days 01:55:20,0,NaT,NaT,8,1,24,1 days 02:19:31.791666666,0 days 11:46:16.500000,10,NaT,NaT,24,creadur
231,10095585,apache/royale-asjs,ActionScript,12272,38,NonSQ,1211,2953 days 09:33:10,81,20 days 13:01:56.901234568,1 days 13:19:01,139,147,7,232 days 00:42:12.714285716,111 days 06:45:19,238,211 days 11:40:15.813051148,109 days 17:26:18,13,royale
233,10472781,apache/deltaspike,Java,2438,55,NonSQ,64,3266 days 06:32:59,3,51 days 20:50:04.666666666,10 days 19:34:47,78,7,9,58 days 15:33:05.111111111,80 days 13:24:56,58,6 days 18:43:00.444444445,69 days 17:50:09,5,deltaspike
234,10616263,apache/sis,Java,7101,8,NonSQ,1131,3938 days 21:25:14,5,82 days 18:35:44.400000,4 days 00:05:11,171,10,32,859 days 21:58:54.125000,151 days 15:08:23.500000,165,777 days 03:23:09.725000,147 days 15:03:12.500000,20,sis
235,10637892,apache/commons-beanutils,Java,1367,29,NonSQ,221,7219 days 11:50:32,27,41 days 11:37:25.518518518,11 days 17:04:37,147,39,28,5 days 05:35:34.285714285,0 days 13:11:38,183,-37 days +17:58:08.767195767,-12 days +20:07:01,33,commons
236,10637893,apache/commons-csv,Java,1528,31,NonSQ,469,5493 days 11:25:24,46,13 days 09:17:50.891304347,6 days 23:48:33.500000,83,55,62,32 days 20:12:54,0 days 02:32:24.500000,73,19 days 10:55:03.108695653,-7 days +02:43:51,66,commons
237,10637896,apache/logging-log4j2,Java,10994,90,NonSQ,1453,3867 days 17:13:54,143,335 days 10:47:16.783216784,25 days 10:45:33,763,188,273,75 days 23:16:46.908424908,14 days 13:42:42,944,-260 days +12:29:30.125208124,-11 days +02:57:09,322,logging
238,10805187,apache/fluo,Java,999,25,NonSQ,16,2681 days 18:11:05,13,253 days 08:42:35,0 days 17:31:35,133,9,8,300 days 06:14:53.625000,2 days 04:27:32.500000,128,46 days 21:32:18.625000,1 days 10:55:57.500000,8,fluo
239,10860590,apache/cordova-plugin-battery-status,JavaScript,233,39,NonSQ,7,2797 days 09:40:34,4,3 days 14:07:04,0 days 23:51:10,8,4,6,1 days 10:44:34.333333333,1 days 03:45:40.500000,9,-3 days +20:37:30.333333333,0 days 03:54:30.500000,9,cordova
240,10860591,apache/cordova-plugin-camera,Objective-C,668,93,NonSQ,36,2797 days 09:36:49,65,122 days 22:45:18.184615384,2 days 23:19:40,115,81,27,630 days 05:26:42.074074072,576 days 09:39:55,111,507 days 06:41:23.889458688,573 days 10:20:15,23,cordova
243,10860594,apache/cordova-plugin-device-motion,JavaScript,268,44,NonSQ,6,2729 days 18:46:11,8,38 days 21:58:07.375000,1 days 00:01:03.500000,1,7,6,1 days 10:21:10.666666666,1 days 03:11:11,2,-38 days +12:23:03.291666666,0 days 03:10:07.500000,8,cordova
244,10860595,apache/cordova-plugin-device-orientation,JavaScript,224,37,NonSQ,6,2681 days 11:19:46,9,19 days 18:10:12.444444444,0 days 15:00:52,3,9,6,1 days 10:55:14.166666666,1 days 04:02:33,6,-19 days +16:45:01.722222222,0 days 13:01:41,9,cordova
245,10860596,apache/cordova-plugin-device,JavaScript,305,54,NonSQ,24,2796 days 13:39:30,8,29 days 01:32:54.875000,0 days 15:25:38.500000,20,12,12,121 days 07:13:22.583333334,2 days 05:05:09.500000,17,92 days 05:40:27.708333334,1 days 13:39:31,12,cordova
246,10860597,apache/cordova-plugin-dialogs,JavaScript,305,58,NonSQ,7,2713 days 09:15:49,14,190 days 18:11:56.214285714,1 days 01:00:43,26,11,6,1 days 10:21:34,1 days 03:12:14,27,-190 days +16:09:37.785714286,0 days 02:11:31,9,cordova
247,10860598,apache/cordova-plugin-file-transfer,JavaScript,507,75,NonSQ,18,2764 days 16:58:40,56,243 days 10:43:28.982142856,35 days 23:51:51,42,36,6,10 days 05:21:51.500000,2 days 16:12:02.500000,32,-234 days +18:38:22.517857144,-34 days +16:20:11.500000,15,cordova
248,10860599,apache/cordova-plugin-file,JavaScript,691,83,NonSQ,30,2810 days 17:20:38,40,229 days 00:47:46.625000,26 days 11:36:34.500000,136,46,30,774 days 01:04:05.433333336,865 days 20:02:02,152,545 days 00:16:18.808333336,839 days 08:25:27.500000,25,cordova
249,10860600,apache/cordova-plugin-geolocation,JavaScript,327,55,NonSQ,13,2796 days 10:10:28,22,158 days 15:46:20.090909090,0 days 20:11:25.500000,35,20,12,130 days 02:16:01.500000,37 days 13:44:35,37,-29 days +10:29:41.409090910,36 days 17:33:09.500000,9,cordova
251,10860602,apache/cordova-plugin-inappbrowser,Objective-C,671,110,NonSQ,18,2796 days 11:22:38,54,58 days 17:02:51.907407407,1 days 03:30:56.500000,221,91,34,259 days 11:30:40.911764704,25 days 00:05:37,302,200 days 18:27:49.004357297,23 days 20:34:40.500000,32,cordova
252,10860603,apache/cordova-plugin-media-capture,JavaScript,326,49,NonSQ,16,2795 days 11:01:30,18,79 days 10:14:36.500000,1 days 07:41:00.500000,51,29,9,262 days 13:28:40.444444444,1 days 10:55:21,70,183 days 03:14:03.944444444,0 days 03:14:20.500000,13,cordova
253,10860604,apache/cordova-plugin-media,JavaScript,403,64,NonSQ,37,2746 days 11:06:33,15,120 days 12:50:02.800000,1 days 14:48:52,100,18,15,397 days 08:09:38.400000,3 days 13:11:31,112,276 days 19:19:35.600000,1 days 22:22:39,17,cordova
254,10860605,apache/cordova-plugin-network-information,Objective-C,289,56,NonSQ,11,2753 days 10:02:28,12,101 days 20:10:24.166666667,22 days 00:10:23,17,9,9,125 days 04:00:52.888888888,1 days 03:36:19,21,23 days 07:50:28.722222221,-21 days +03:25:56,7,cordova
255,10860606,apache/cordova-plugin-splashscreen,JavaScript,387,65,NonSQ,24,2795 days 14:30:32,32,88 days 21:50:35.531250,1 days 00:18:43.500000,61,25,52,963 days 10:02:58.807692304,1202 days 05:11:39.500000,53,874 days 12:12:23.276442304,1201 days 04:52:56,8,cordova
256,10860607,apache/cordova-plugin-vibration,JavaScript,328,49,NonSQ,7,2755 days 11:17:20,3,4 days 17:27:14.333333333,1 days 02:57:38,3,4,6,1 days 10:50:41.333333333,1 days 04:10:00,5,-4 days +17:23:27,0 days 01:12:22,11,cordova
258,11247824,apache/commons-pool,Java,2126,42,NonSQ,495,7200 days 14:48:47,33,9 days 23:56:36.575757575,2 days 02:05:22,22,33,49,4 days 17:10:38.448979591,0 days 03:10:46,23,-6 days +17:14:01.873222016,-2 days +01:05:24,52,commons
259,11304834,apache/commons-dbcp,Java,2249,40,NonSQ,503,7200 days 12:25:12,44,51 days 11:43:23.068181818,2 days 10:03:54.500000,35,45,56,16 days 22:22:10.160714285,0 days 10:59:57.500000,32,-35 days +10:38:47.092532467,-2 days +00:56:03,56,commons
260,11304836,apache/commons-jcs,Java,1588,17,NonSQ,397,6803 days 01:47:33,7,128 days 10:10:58,21 days 23:33:19,9,5,34,3 days 19:18:13.176470588,1 days 03:22:52,3,-125 days +09:07:15.176470588,-21 days +03:49:33,33,commons
261,11304838,apache/commons-jelly,Java,1942,23,NonSQ,11,6679 days 12:16:22,0,NaT,NaT,103,2,2,506 days 07:16:10,506 days 07:16:10,112,NaT,NaT,3,commons
262,11304839,apache/commons-jexl,Java,1805,25,NonSQ,493,6813 days 13:57:23,17,40 days 04:01:56.117647059,4 days 02:38:44,30,18,79,760 days 00:44:13.063291128,2 days 22:59:16,19,719 days 20:42:16.945644069,-2 days +20:20:32,67,commons
263,11304840,apache/commons-jxpath,Java,601,18,NonSQ,60,6851 days 11:57:17,0,NaT,NaT,42,2,24,86 days 22:52:54,0 days 08:17:28,48,NaT,NaT,26,commons
264,11304843,apache/commons-ognl,Java,681,12,NonSQ,181,3525 days 23:43:27,20,17 days 21:37:43.200000,0 days 01:11:39.500000,68,19,35,40 days 20:39:44.828571428,9 days 23:57:03,66,22 days 23:02:01.628571428,9 days 22:45:23.500000,32,commons
265,11304845,apache/commons-proxy,Java,591,10,NonSQ,3,5467 days 19:31:15,0,NaT,NaT,2,3,3,495 days 02:59:30.333333336,734 days 03:15:03,4,NaT,NaT,10,commons
266,11335236,apache/commons-email,Java,903,24,NonSQ,188,5878 days 14:41:00,10,17 days 08:38:17.100000,7 days 11:05:05,21,17,45,21 days 10:03:33.355555555,6 days 23:52:12,29,4 days 01:25:16.255555555,-1 days +12:47:07,47,commons
267,11335237,apache/commons-functor,Java,851,15,NonSQ,24,6516 days 13:48:50,14,2 days 01:10:35.285714285,0 days 01:21:03.500000,3,14,8,20 days 06:29:45.375000,2 days 01:02:15.500000,3,18 days 05:19:10.089285715,1 days 23:41:12,8,commons
268,11335239,apache/commons-imaging,Java,1393,33,NonSQ,321,4833 days 19:10:28,40,34 days 01:29:16.800000,1 days 04:50:12.500000,67,46,37,3 days 12:41:47.567567567,0 days 02:47:48,95,-31 days +11:12:30.767567567,-2 days +21:57:35.500000,41,commons
269,11335240,apache/commons-jci,Java,426,15,NonSQ,6,5800 days 19:02:09,0,NaT,NaT,13,5,2,750 days 19:58:49.500000,750 days 19:58:49.500000,17,NaT,NaT,1,commons
270,11362687,apache/commons-bsf,Java,439,11,NonSQ,64,6635 days 07:40:15,1,1 days 01:02:59,1 days 01:02:59,12,6,34,79 days 18:15:26.352941176,27 days 23:59:36.500000,22,78 days 17:12:27.352941176,26 days 22:56:37.500000,27,commons
271,11362688,apache/commons-chain,Java,672,17,NonSQ,23,6311 days 22:12:00,2,16 days 14:24:19.500000,16 days 14:24:19.500000,0,5,15,70 days 23:06:34.933333333,11 days 00:00:28,13,54 days 08:42:15.433333333,-6 days +09:36:08.500000,16,commons
272,11362689,apache/commons-daemon,C,1191,21,NonSQ,272,6304 days 17:36:14,11,69 days 21:51:55.636363636,21 days 00:32:00,18,11,32,19 days 06:36:15.406250,6 days 23:59:33,19,-51 days +08:44:19.769886364,-15 days +23:27:33,33,commons
273,11362690,apache/commons-dbutils,Java,761,24,NonSQ,156,6268 days 10:28:37,35,12 days 17:21:01.257142857,7 days 00:19:04,19,38,51,161 days 23:50:07.313725490,6 days 23:59:59,26,149 days 06:29:06.056582633,-1 days +23:40:55,45,commons
274,11362691,apache/commons-digester,Java,2167,18,NonSQ,59,7182 days 16:01:24,2,18 days 07:33:39.500000,18 days 07:33:39.500000,27,10,19,168 days 22:17:37.789473684,41 days 22:57:06,39,150 days 14:43:58.289473684,23 days 15:23:26.500000,26,commons
275,11384366,apache/commons-bcel,Java,1676,26,NonSQ,690,7002 days 16:33:08,33,40 days 17:12:14.303030303,7 days 23:14:45,85,32,70,588 days 14:05:27.442857144,0 days 18:01:24.500000,88,547 days 20:53:13.139826841,-8 days +18:46:39.500000,70,commons
276,11384368,apache/commons-vfs,Java,2691,39,NonSQ,830,6742 days 23:47:01,66,137 days 20:13:51.787878788,8 days 12:31:52.500000,276,70,97,22 days 20:05:47.154639175,0 days 08:47:55,265,-116 days +23:51:55.366760387,-9 days +20:16:02.500000,99,commons
277,11469439,apache/mesos,C++,18104,296,NonSQ,79,3508 days 17:43:27,49,207 days 06:53:45.775510204,35 days 17:30:40,3070,72,11,45 days 04:58:35.818181818,8 days 22:20:48,3059,-163 days +22:04:50.042671614,-27 days +04:50:08,11,mesos
280,13641478,apache/cloudstack-cloudmonkey,Go,399,15,NonSQ,22,2827 days 12:36:56,4,13 days 02:13:26.500000,12 days 23:10:58.500000,4,8,3,182 days 14:48:13.333333334,138 days 01:34:15,13,169 days 12:34:46.833333334,125 days 02:23:16.500000,4,cloudstack
286,13853693,apache/commons-weaver,Java,530,9,NonSQ,24,2964 days 03:37:28,0,NaT,NaT,1,3,4,384 days 00:01:32,383 days 15:03:01,7,NaT,NaT,3,commons
287,13948735,apache/couchdb-admin,Shell,145,7,NonSQ,1,2530 days 20:53:14,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
290,14135470,apache/storm,Java,10409,311,NonSQ,112,3386 days 15:57:43,121,43 days 16:10:19.644628099,6 days 18:53:02,1088,137,16,23 days 04:26:36.562500,5 days 03:10:28.500000,1170,-21 days +12:16:16.917871901,-2 days +08:17:26.500000,35,storm
292,14357669,apache/openoffice,C++,7365,22,NonSQ,528,3486 days 23:37:32,22,19 days 13:56:40.318181818,1 days 11:24:19.500000,17,25,12,134 days 09:22:58.833333334,7 days 13:34:26,12,114 days 19:26:18.515151516,6 days 02:10:06.500000,10,openoffice
293,14612016,apache/velocity-engine,Java,4357,10,NonSQ,47,7360 days 18:35:46,1,4 days 21:59:52,4 days 21:59:52,3,3,2,0 days 01:18:30,0 days 01:18:30,5,-5 days +03:18:38,-5 days +03:18:38,2,velocity
294,14612017,apache/velocity-tools,Java,1819,8,NonSQ,15,6906 days 14:16:24,2,19 days 12:15:41,19 days 12:15:41,5,3,1,70 days 15:32:21,70 days 15:32:21,9,51 days 03:16:40,51 days 03:16:40,5,velocity
296,14795578,apache/uima-uimaj,Java,6990,10,NonSQ,662,5156 days 10:52:52,35,6 days 19:16:02.542857142,0 days 10:56:40,2,36,43,7 days 16:08:26.813953488,0 days 06:39:51,2,0 days 20:52:24.271096346,-1 days +19:43:11,55,uima
301,15070663,apache/uima-uimacpp,C++,311,3,NonSQ,7,4738 days 02:39:36,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,uima
302,15070665,apache/uima-uimafit,Java,808,4,NonSQ,194,2911 days 21:36:17,28,6 days 23:40:58.250000,0 days 00:45:54.500000,1,27,22,9 days 08:57:33.136363636,0 days 01:10:19,0,2 days 09:16:34.886363636,0 days 00:24:24.500000,23,uima
304,15680130,apache/cordova-browser,JavaScript,202,30,NonSQ,3,2547 days 12:07:00,8,210 days 22:08:50.750000,157 days 05:48:51.500000,12,3,2,262 days 10:44:54.500000,262 days 10:44:54.500000,10,51 days 12:36:03.750000,105 days 04:56:03,3,cordova
308,15698466,apache/jclouds,Java,10736,214,NonSQ,76,4264 days 18:51:54,37,985 days 22:59:12.513513520,360 days 13:41:29,474,25,23,82 days 14:18:37.826086957,2 days 14:36:22,477,-904 days +15:19:25.312573437,-358 days +00:54:53,27,jclouds
310,15861701,apache/helix,Java,3962,38,NonSQ,379,3467 days 22:43:43,381,31 days 03:00:42.721784777,4 days 18:54:26,469,465,122,26 days 21:37:45.418032787,5 days 11:28:23,564,-5 days +18:37:02.696248010,0 days 16:33:57,168,helix
311,15895714,apache/datafu,Java,566,25,NonSQ,37,3349 days 22:50:59,1,81 days 17:47:04,81 days 17:47:04,6,3,15,208 days 18:07:45.600000,5 days 04:51:03,11,127 days 00:20:41.600000,-77 days +11:03:59,19,datafu
312,15928650,apache/struts,Java,6033,52,SQ,471,5423 days 09:46:45,36,4 days 14:33:52.500000,2 days 11:36:59.500000,4,39,75,4 days 22:26:24.386666666,1 days 18:53:38,7,0 days 07:52:31.886666666,-1 days +07:16:38.500000,76,struts
314,15993599,apache/couchdb-config,,114,15,NonSQ,12,3285 days 20:54:47,1,148 days 19:32:04,148 days 19:32:04,2,1,7,286 days 10:15:43.142857144,2 days 15:18:14,2,137 days 14:43:39.142857144,-147 days +19:46:10,6,couchdb
323,15993609,apache/couchdb-documentation,,1193,137,NonSQ,138,2940 days 17:19:43,50,57 days 11:39:23.820000,0 days 04:12:59,32,47,15,152 days 18:29:53.133333334,0 days 11:55:33,4,95 days 06:50:29.313333334,0 days 07:42:34,11,couchdb
324,15993610,apache/couchdb-ets-lru,,31,9,NonSQ,1,2256 days 17:28:02,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
326,15993612,apache/couchdb-fauxton,JavaScript,1940,59,NonSQ,56,2965 days 04:27:14,12,208 days 15:12:09.666666668,6 days 15:08:38,52,14,22,25 days 04:34:45.727272727,2 days 15:44:33,59,-184 days +13:22:36.060606059,-4 days +00:35:55,23,couchdb
327,15993613,apache/couchdb-ibrowse,Erlang,301,41,NonSQ,4,5641 days 11:52:16,2,104 days 20:35:21,104 days 20:35:21,2,1,0,NaT,NaT,1,NaT,NaT,0,couchdb
328,15993614,apache/couchdb-jiffy,C++,228,27,NonSQ,9,3542 days 22:02:33,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
330,15993616,apache/couchdb-mochiweb,Erlang,610,51,NonSQ,44,4483 days 10:03:06,0,NaT,NaT,1,0,1,1 days 05:57:49,1 days 05:57:49,0,NaT,NaT,1,couchdb
332,15993618,apache/couchdb-rebar,Erlang,1939,159,NonSQ,3,3268 days 18:49:30,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
333,15993620,apache/couchdb-snappy,C++,69,12,NonSQ,6,3027 days 22:41:12,0,NaT,NaT,0,0,1,58 days 02:31:40,58 days 02:31:40,2,NaT,NaT,1,couchdb
335,16021499,apache/jackrabbit-filevault,Java,636,8,SQ,354,2686 days 17:17:58,55,30 days 18:21:18.181818182,5 days 04:50:00,82,59,60,24 days 17:25:16.600000,1 days 02:37:17,88,-7 days +23:03:58.418181818,-5 days +21:47:17,64,jackrabbit
337,16338711,apache/airavata,Java,9383,46,NonSQ,402,3455 days 05:02:21,47,104 days 07:18:50.723404256,39 days 04:59:47,694,64,85,38 days 20:24:54.176470588,0 days 02:02:37,846,-66 days +13:06:03.453066332,-40 days +21:02:50,101,airavata
338,16538531,apache/qpid-dispatch,Python,3007,24,NonSQ,465,2617 days 23:09:24,333,39 days 03:06:40.531531531,4 days 00:55:12,255,398,26,42 days 17:45:03.807692307,22 days 11:55:44.500000,360,3 days 14:38:23.276160776,18 days 11:00:32.500000,34,qpid
345,16795933,apache/couchdb-folsom,Erlang,334,32,NonSQ,4,2901 days 18:37:20,0,NaT,NaT,0,0,1,2 days 12:17:48,2 days 12:17:48,0,NaT,NaT,2,couchdb
348,16795937,apache/couchdb-lager,Erlang,452,38,NonSQ,1,1200 days 04:43:57,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,couchdb
349,16977479,apache/cxf,Java,16102,156,SQ,961,4633 days 08:15:59,125,33 days 00:24:49.280000,4 days 14:59:34,393,136,149,75 days 21:40:26.617449664,5 days 06:16:25,486,42 days 21:15:37.337449664,0 days 15:16:51,155,cxf
351,17049428,apache/juddi,Java,2928,7,NonSQ,68,6123 days 13:33:35,11,32 days 10:08:51.545454545,15 days 08:56:30,30,2,26,27 days 22:48:19.615384615,22 days 23:23:34,34,-5 days +12:39:28.069930070,7 days 14:27:04,35,juddi
352,17165658,apache/spark,Scala,28951,1537,NonSQ,6307,3929 days 22:17:00,2020,23 days 13:00:21.740594059,1 days 10:11:22,221,2018,2285,20 days 11:15:53.244638949,1 days 08:08:11,221,-4 days +22:15:31.504044890,-1 days +21:56:49,2278,spark
353,17310686,apache/knox,Java,2447,50,NonSQ,249,2980 days 21:00:20,161,32 days 05:07:16.788819876,0 days 23:28:35,273,166,178,44 days 16:40:44.185393258,6 days 03:18:16.500000,303,12 days 11:33:27.396573382,5 days 03:49:41.500000,192,knox
354,17359057,apache/curator,Java,2716,89,NonSQ,61,3441 days 04:26:51,5,13 days 14:14:19,1 days 00:49:33,43,7,50,1110 days 08:31:15.120000,952 days 09:52:18,45,1096 days 18:16:56.120000,951 days 09:02:45,16,curator
355,17537834,apache/cxf-build-utils,Java,118,6,NonSQ,9,3814 days 17:45:40,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,0,cxf
356,17537835,apache/cxf-dosgi,Java,809,7,NonSQ,1,4046 days 20:53:11,0,NaT,NaT,0,0,2,66 days 15:10:03,66 days 15:10:03,0,NaT,NaT,4,cxf
357,17537838,apache/cxf-fediz,Java,1777,16,NonSQ,129,3289 days 10:32:26,4,5 days 12:05:32.750000,2 days 02:26:48,29,6,12,244 days 09:58:40.500000,18 days 21:07:16.500000,30,238 days 21:53:07.750000,16 days 18:40:28.500000,16,cxf
358,17537839,apache/cxf-xjc-utils,Java,177,12,NonSQ,13,3903 days 10:57:01,1,0 days 00:01:45,0 days 00:01:45,5,2,0,NaT,NaT,5,NaT,NaT,1,cxf
359,17621324,apache/struts-examples,Java,986,15,NonSQ,300,5349 days 02:00:56,24,0 days 01:06:58.541666666,0 days 00:07:56,0,24,58,2 days 16:59:13.379310344,0 days 05:54:44.500000,0,2 days 15:52:14.837643678,0 days 05:46:48.500000,58,struts
360,17701205,apache/samza-hello-samza,Java,216,38,NonSQ,2,2613 days 00:27:01,3,0 days 14:50:49.333333333,0 days 00:05:09,12,3,0,NaT,NaT,14,NaT,NaT,2,samza
361,17770131,apache/cordova-plugin-statusbar,Objective-C,280,51,NonSQ,27,2611 days 07:15:13,13,63 days 23:07:41.384615385,1 days 05:31:25,30,17,34,117 days 10:03:45.852941176,2 days 23:38:16.500000,35,53 days 10:56:04.468325791,1 days 18:06:51.500000,27,cordova
362,17856644,apache/streams,Java,1781,17,NonSQ,2,2892 days 22:20:53,25,30 days 02:11:42.600000,3 days 21:07:46,99,33,10,680 days 04:36:47.300000,677 days 00:43:35.500000,112,650 days 02:25:04.700000,673 days 03:35:49.500000,13,streams
365,18461851,apache/allura,Python,9826,47,NonSQ,494,4096 days 02:32:13,0,NaT,NaT,1,0,0,NaT,NaT,0,NaT,NaT,0,allura
366,18627124,apache/archiva-site,CSS,99,5,NonSQ,23,2263 days 17:21:41,0,NaT,NaT,0,0,0,NaT,NaT,0,NaT,NaT,1,archiva
367,18627126,apache/archiva,Java,8617,26,NonSQ,166,5515 days 17:42:30,1,12 days 06:33:25,12 days 06:33:25,203,5,18,38 days 20:39:15.055555555,25 days 05:52:10.500000,234,26 days 14:05:50.055555555,12 days 23:18:45.500000,20,archiva
368,18665398,apache/archiva-redback-core,Java,1037,12,NonSQ,78,3191 days 07:54:20,0,NaT,NaT,2,0,20,45 days 16:54:32.550000,33 days 14:23:14,13,NaT,NaT,22,archiva
369,18830102,apache/olingo-odata2,Java,908,19,NonSQ,23,2692 days 18:13:47,0,NaT,NaT,11,1,2,48 days 09:37:38,48 days 09:37:38,4,NaT,NaT,9,olingo
371,18830104,apache/olingo-odata4,Java,1876,27,NonSQ,47,2606 days 21:59:37,3,440 days 01:50:53.333333336,221 days 01:10:01,17,4,24,33 days 17:11:12.791666666,6 days 14:30:20,19,-407 days +15:20:19.458333330,-215 days +13:20:19,30,olingo
372,19020239,apache/maven-indexer,Java,423,22,NonSQ,134,3641 days 15:18:24,13,106 days 13:37:13.461538462,19 days 15:21:47,27,14,82,52 days 11:37:45.658536585,6 days 11:58:19,22,-55 days +22:00:32.196998123,-14 days +20:36:32,74,maven
373,19524397,apache/cordova-lib,JavaScript,3509,133,NonSQ,32,3254 days 19:48:34,20,193 days 15:56:05.150000,0 days 18:53:33,15,22,11,139 days 22:51:03.909090910,4 days 12:03:23,17,-54 days +06:54:58.759090910,3 days 17:09:50,13,cordova
374,19688946,apache/flex-blazeds,Java,116,7,NonSQ,1,2347 days 11:06:19,0,NaT,NaT,1,0,0,NaT,NaT,2,NaT,NaT,4,flex
375,19932015,apache/gora,Java,1367,42,SQ,28,3686 days 18:24:00,25,386 days 18:50:15.160000,15 days 10:11:20,124,22,0,NaT,NaT,154,NaT,NaT,9,gora
376,19961085,apache/pinot,Java,7562,144,NonSQ,2118,2252 days 04:22:38,614,28 days 03:53:09.493485342,2 days 04:04:44,353,758,896,83 days 15:23:10.400669641,2 days 19:48:03.500000,950,55 days 11:30:00.907184299,0 days 15:43:19.500000,1038,pinot
377,20089857,apache/hbase,Java,18266,317,NonSQ,1275,5020 days 18:03:03,1447,118 days 23:28:21.219073946,3 days 15:54:01,3502,1619,803,327 days 07:48:53.556662512,7 days 00:23:43,2468,208 days 08:20:32.337588566,3 days 08:29:42,733,hbase
